Agent1,Agent2
"ConditionalPlan(2, Dict{Bool, ConditionalPlan}(0 => ConditionalPlan(2, Dict{Bool, ConditionalPlan}(0 => ConditionalPlan(2, Dict{Any, Any}()), 1 => ConditionalPlan(2, Dict{Any, Any}()))), 1 => ConditionalPlan(2, Dict{Bool, ConditionalPlan}(0 => ConditionalPlan(2, Dict{Any, Any}()), 1 => ConditionalPlan(2, Dict{Any, Any}())))))","ConditionalPlan(1, Dict{Bool, ConditionalPlan}(0 => ConditionalPlan(2, Dict{Bool, ConditionalPlan}(0 => ConditionalPlan(2, Dict{Any, Any}()), 1 => ConditionalPlan(2, Dict{Any, Any}()))), 1 => ConditionalPlan(2, Dict{Bool, ConditionalPlan}(0 => ConditionalPlan(2, Dict{Any, Any}()), 1 => ConditionalPlan(2, Dict{Any, Any}())))))"
"ConditionalPlan(2, Dict{Bool, ConditionalPlan}(0 => ConditionalPlan(1, Dict{Bool, ConditionalPlan}(0 => ConditionalPlan(2, Dict{Any, Any}()), 1 => ConditionalPlan(2, Dict{Any, Any}()))), 1 => ConditionalPlan(1, Dict{Bool, ConditionalPlan}(0 => ConditionalPlan(2, Dict{Any, Any}()), 1 => ConditionalPlan(2, Dict{Any, Any}())))))","ConditionalPlan(2, Dict{Bool, ConditionalPlan}(0 => ConditionalPlan(2, Dict{Bool, ConditionalPlan}(0 => ConditionalPlan(2, Dict{Any, Any}()), 1 => ConditionalPlan(2, Dict{Any, Any}()))), 1 => ConditionalPlan(2, Dict{Bool, ConditionalPlan}(0 => ConditionalPlan(2, Dict{Any, Any}()), 1 => ConditionalPlan(2, Dict{Any, Any}())))))"
"ConditionalPlan(2, Dict{Bool, ConditionalPlan}(0 => ConditionalPlan(1, Dict{Bool, ConditionalPlan}(0 => ConditionalPlan(2, Dict{Any, Any}()), 1 => ConditionalPlan(2, Dict{Any, Any}()))), 1 => ConditionalPlan(1, Dict{Bool, ConditionalPlan}(0 => ConditionalPlan(2, Dict{Any, Any}()), 1 => ConditionalPlan(2, Dict{Any, Any}())))))","ConditionalPlan(1, Dict{Bool, ConditionalPlan}(0 => ConditionalPlan(2, Dict{Bool, ConditionalPlan}(0 => ConditionalPlan(2, Dict{Any, Any}()), 1 => ConditionalPlan(2, Dict{Any, Any}()))), 1 => ConditionalPlan(2, Dict{Bool, ConditionalPlan}(0 => ConditionalPlan(2, Dict{Any, Any}()), 1 => ConditionalPlan(2, Dict{Any, Any}())))))"
"ConditionalPlan(1, Dict{Bool, ConditionalPlan}(0 => ConditionalPlan(2, Dict{Bool, ConditionalPlan}(0 => ConditionalPlan(2, Dict{Any, Any}()), 1 => ConditionalPlan(2, Dict{Any, Any}()))), 1 => ConditionalPlan(2, Dict{Bool, ConditionalPlan}(0 => ConditionalPlan(2, Dict{Any, Any}()), 1 => ConditionalPlan(2, Dict{Any, Any}())))))","ConditionalPlan(2, Dict{Bool, ConditionalPlan}(0 => ConditionalPlan(1, Dict{Bool, ConditionalPlan}(0 => ConditionalPlan(2, Dict{Any, Any}()), 1 => ConditionalPlan(2, Dict{Any, Any}()))), 1 => ConditionalPlan(1, Dict{Bool, ConditionalPlan}(0 => ConditionalPlan(2, Dict{Any, Any}()), 1 => ConditionalPlan(2, Dict{Any, Any}())))))"
"ConditionalPlan(1, Dict{Bool, ConditionalPlan}(0 => ConditionalPlan(2, Dict{Bool, ConditionalPlan}(0 => ConditionalPlan(2, Dict{Any, Any}()), 1 => ConditionalPlan(2, Dict{Any, Any}()))), 1 => ConditionalPlan(2, Dict{Bool, ConditionalPlan}(0 => ConditionalPlan(2, Dict{Any, Any}()), 1 => ConditionalPlan(2, Dict{Any, Any}())))))","ConditionalPlan(2, Dict{Bool, ConditionalPlan}(0 => ConditionalPlan(2, Dict{Bool, ConditionalPlan}(0 => ConditionalPlan(2, Dict{Any, Any}()), 1 => ConditionalPlan(2, Dict{Any, Any}()))), 1 => ConditionalPlan(2, Dict{Bool, ConditionalPlan}(0 => ConditionalPlan(2, Dict{Any, Any}()), 1 => ConditionalPlan(2, Dict{Any, Any}())))))"
"ConditionalPlan(1, Dict{Bool, ConditionalPlan}(0 => ConditionalPlan(1, Dict{Bool, ConditionalPlan}(0 => ConditionalPlan(2, Dict{Any, Any}()), 1 => ConditionalPlan(2, Dict{Any, Any}()))), 1 => ConditionalPlan(1, Dict{Bool, ConditionalPlan}(0 => ConditionalPlan(2, Dict{Any, Any}()), 1 => ConditionalPlan(2, Dict{Any, Any}())))))","ConditionalPlan(2, Dict{Bool, ConditionalPlan}(0 => ConditionalPlan(2, Dict{Bool, ConditionalPlan}(0 => ConditionalPlan(2, Dict{Any, Any}()), 1 => ConditionalPlan(2, Dict{Any, Any}()))), 1 => ConditionalPlan(2, Dict{Bool, ConditionalPlan}(0 => ConditionalPlan(2, Dict{Any, Any}()), 1 => ConditionalPlan(2, Dict{Any, Any}())))))"
"ConditionalPlan(1, Dict{Bool, ConditionalPlan}(0 => ConditionalPlan(1, Dict{Bool, ConditionalPlan}(0 => ConditionalPlan(2, Dict{Any, Any}()), 1 => ConditionalPlan(2, Dict{Any, Any}()))), 1 => ConditionalPlan(1, Dict{Bool, ConditionalPlan}(0 => ConditionalPlan(2, Dict{Any, Any}()), 1 => ConditionalPlan(2, Dict{Any, Any}())))))","ConditionalPlan(2, Dict{Bool, ConditionalPlan}(0 => ConditionalPlan(2, Dict{Bool, ConditionalPlan}(0 => ConditionalPlan(2, Dict{Any, Any}()), 1 => ConditionalPlan(2, Dict{Any, Any}()))), 1 => ConditionalPlan(2, Dict{Bool, ConditionalPlan}(0 => ConditionalPlan(2, Dict{Any, Any}()), 1 => ConditionalPlan(2, Dict{Any, Any}())))))"
"ConditionalPlan(2, Dict{Bool, ConditionalPlan}(0 => ConditionalPlan(1, Dict{Bool, ConditionalPlan}(0 => ConditionalPlan(2, Dict{Any, Any}()), 1 => ConditionalPlan(2, Dict{Any, Any}()))), 1 => ConditionalPlan(1, Dict{Bool, ConditionalPlan}(0 => ConditionalPlan(2, Dict{Any, Any}()), 1 => ConditionalPlan(2, Dict{Any, Any}())))))","ConditionalPlan(2, Dict{Bool, ConditionalPlan}(0 => ConditionalPlan(2, Dict{Bool, ConditionalPlan}(0 => ConditionalPlan(2, Dict{Any, Any}()), 1 => ConditionalPlan(2, Dict{Any, Any}()))), 1 => ConditionalPlan(2, Dict{Bool, ConditionalPlan}(0 => ConditionalPlan(2, Dict{Any, Any}()), 1 => ConditionalPlan(2, Dict{Any, Any}())))))"
"ConditionalPlan(2, Dict{Bool, ConditionalPlan}(0 => ConditionalPlan(1, Dict{Bool, ConditionalPlan}(0 => ConditionalPlan(2, Dict{Any, Any}()), 1 => ConditionalPlan(2, Dict{Any, Any}()))), 1 => ConditionalPlan(1, Dict{Bool, ConditionalPlan}(0 => ConditionalPlan(2, Dict{Any, Any}()), 1 => ConditionalPlan(2, Dict{Any, Any}())))))","ConditionalPlan(1, Dict{Bool, ConditionalPlan}(0 => ConditionalPlan(2, Dict{Bool, ConditionalPlan}(0 => ConditionalPlan(2, Dict{Any, Any}()), 1 => ConditionalPlan(2, Dict{Any, Any}()))), 1 => ConditionalPlan(2, Dict{Bool, ConditionalPlan}(0 => ConditionalPlan(2, Dict{Any, Any}()), 1 => ConditionalPlan(2, Dict{Any, Any}())))))"
"ConditionalPlan(1, Dict{Bool, ConditionalPlan}(0 => ConditionalPlan(1, Dict{Bool, ConditionalPlan}(0 => ConditionalPlan(2, Dict{Any, Any}()), 1 => ConditionalPlan(2, Dict{Any, Any}()))), 1 => ConditionalPlan(1, Dict{Bool, ConditionalPlan}(0 => ConditionalPlan(2, Dict{Any, Any}()), 1 => ConditionalPlan(2, Dict{Any, Any}())))))","ConditionalPlan(2, Dict{Bool, ConditionalPlan}(0 => ConditionalPlan(2, Dict{Bool, ConditionalPlan}(0 => ConditionalPlan(2, Dict{Any, Any}()), 1 => ConditionalPlan(2, Dict{Any, Any}()))), 1 => ConditionalPlan(2, Dict{Bool, ConditionalPlan}(0 => ConditionalPlan(2, Dict{Any, Any}()), 1 => ConditionalPlan(2, Dict{Any, Any}())))))"
